VIN	LastStable	BatteryCapcity	BatteryCharge	BatteryRechargeRate	DrivingDischargeRate	IdlingDischargeRate	TotalTimeMoving	TotalTimeWaiting	TotalTimeCharging100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
100	ออออ	100	100	1	1	1	0	0	0
102	ออออ	100	100	1	1	1	0	0	0
104	ออออ	100	100	1	1	1	0	0	0
106	ออออ	100	100	1	1	1	0	0	0
